Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.22508"
"0.50000","0.00000","0.22786"
"1.00000","0.00000","0.22529"
"1.50000","0.00000","0.22757"
"2.00000","0.00000","0.22822"
"2.50000","0.00000","0.23008"
"3.00000","0.00000","0.22535"
"3.50000","0.00000","0.22888"
"4.00000","0.00000","0.22539"
"4.50000","0.00000","0.22537"
"5.00000","0.00000","0.22479"
"5.50000","0.00000","0.22597"
"6.00000","0.00000","0.22347"
"6.50000","0.00000","0.22502"
"7.00000","0.00000","0.22560"
"7.50000","0.00000","0.22415"
"8.00000","0.00000","0.22537"
"8.50000","0.00000","0.22602"
"9.00000","0.00000","0.22406"
"9.50000","0.00000","0.22876"
"10.00000","0.00000","0.22517"
"10.50000","0.00000","0.22291"
"11.00000","0.00000","0.23083"
"11.50000","0.00000","0.22496"
"12.00000","0.00000","0.22638"
"12.50000","0.00000","0.22368"
"13.00000","0.00000","0.22487"
"13.50000","0.00000","0.22424"
"14.00000","0.00000","0.22668"
"14.50000","0.00000","0.22408"
"15.00000","0.00000","0.22887"
"15.50000","0.00000","0.22530"
"16.00000","0.00000","0.22577"
"16.50000","0.00000","0.22727"
"17.00000","0.00000","0.22712"
"17.50000","0.00000","0.22320"
"18.00000","0.00000","0.22518"
"18.50000","0.00000","0.22640"
"19.00000","0.00000","0.22587"
"19.50000","0.00000","0.22143"
"19.98100","0.00000","0.22556"
"19.98200","0.00000","0.22554"
"20.00400","0.00000","0.22380"
"20.50400","0.00138","0.42056"
"21.00400","0.00313","0.70101"
"21.50400","0.00464","0.93136"
"22.00400","0.00647","1.22204"
"22.50400","0.00804","1.46650"
"23.00400","0.00974","1.72972"
"23.50400","0.01142","1.98505"
"24.00400","0.01303","2.22855"
"24.50400","0.01483","2.50677"
"25.00400","0.01630","2.73516"
"25.50400","0.01811","3.01003"
"26.00400","0.01972","3.25489"
"26.50400","0.02141","3.51286"
"27.00400","0.02313","3.77360"
"27.50400","0.02469","4.00650"
"28.00400","0.02648","4.27013"
"28.50400","0.02798","4.49598"
"29.00400","0.02977","4.76545"
"29.50400","0.03139","5.01085"
"30.00400","0.03303","5.24612"
"30.50400","0.03481","5.51417"
"31.00400","0.03635","5.74452"
"31.50400","0.03813","6.00863"
"32.00400","0.03964","6.23902"
"32.50400","0.04143","6.51303"
"33.00400","0.04307","6.76019"
"33.50400","0.04469","7.00508"
"34.00400","0.04648","7.27448"
"34.50400","0.04803","7.51181"
"35.00400","0.04978","7.77675"
"35.50400","0.05135","8.01328"
"36.00400","0.05309","8.27108"
"36.50400","0.05477","8.52133"
"37.00400","0.05634","8.75642"
"37.50400","0.05813","9.02363"
"38.00400","0.05972","9.25897"
"38.50400","0.06142","9.51177"
"39.00400","0.06305","9.75444"
"39.50400","0.06471","9.99461"
"40.00400","0.06645","10.25152"
"40.50400","0.06802","10.48035"
"41.00400","0.06979","10.73907"
"41.50400","0.07141","10.96879"
"42.00400","0.07308","11.21095"
"42.50400","0.07475","11.44861"
"43.00400","0.07636","11.67933"
"43.50400","0.07810","11.92544"
"44.00400","0.07969","12.14708"
"44.50400","0.08144","12.39104"
"45.00400","0.08309","12.61600"
"45.50400","0.08470","12.34742"
"46.00400","0.08641","12.56723"
"46.50400","0.08802","12.79966"
"47.00400","0.08977","13.04808"
"47.50400","0.09137","13.26259"
"48.00400","0.09308","13.50082"
"48.50400","0.09479","13.73331"
"49.00400","0.09633","13.93298"
"49.50400","0.09812","14.16702"
"50.00400","0.09971","14.37101"
"50.50400","0.10141","14.59496"
"51.00400","0.10305","14.80740"
"51.50400","0.10475","15.02465"
"52.00400","0.10647","15.25802"
"52.50400","0.10798","15.45416"
"53.00400","0.10978","15.68254"
"53.50400","0.11138","15.88826"
"54.00400","0.11308","16.10389"
"54.50400","0.11477","16.32294"
"55.00400","0.11639","16.53417"
"55.50400","0.11815","16.75650"
"56.00400","0.11964","16.94073"
"56.50400","0.12145","17.17223"
"57.00400","0.12305","17.37089"
"57.50400","0.12471","17.57461"
"58.00400","0.12649","17.79336"
"58.50400","0.12804","17.97849"
"59.00400","0.12980","18.19127"
"59.50400","0.13131","18.37260"
"60.00400","0.13311","18.58740"
"60.50400","0.13477","18.78430"
"61.00400","0.13636","18.97060"
"61.50400","0.13815","19.17686"
"62.00400","0.13967","19.35004"
"62.50400","0.14147","19.55228"
"63.00400","0.14300","19.71797"
"63.50400","0.14476","19.90166"
"64.00400","0.14641","20.09237"
"64.50400","0.14801","20.27355"
"65.00400","0.14983","20.48024"
"65.50400","0.15135","20.64086"
"66.00400","0.15311","20.83925"
"66.50400","0.15467","21.00549"
"67.00400","0.15641","21.19601"
"67.50400","0.15811","21.37387"
"68.00400","0.15967","21.53456"
"68.50400","0.16147","21.71855"
"69.00400","0.16303","21.88279"
"69.50400","0.16475","22.05619"
"70.00400","0.16637","22.21839"
"70.50400","0.16804","22.38148"
"71.00400","0.16977","22.55411"
"71.50400","0.17134","22.70978"
"72.00400","0.17312","22.88361"
"72.50400","0.17473","23.03927"
"73.00400","0.17640","23.18083"
"73.50400","0.17806","23.31535"
"74.00400","0.17970","23.45249"
"74.50400","0.18143","23.61423"
"75.00400","0.18300","23.75082"
"75.50400","0.18477","23.90569"
"76.00400","0.18643","24.04908"
"76.50400","0.18806","24.17972"
"77.00400","0.18975","24.32363"
"77.50400","0.19135","24.44884"
"78.00400","0.19309","24.58913"
"78.50400","0.19472","24.71565"
"79.00400","0.19642","24.83137"
"79.50400","0.19814","24.96127"
"80.00400","0.19967","25.06477"
"80.50400","0.20144","25.19485"
"81.00400","0.20303","25.30173"
"81.50400","0.20475","25.42385"
"82.00400","0.20640","25.54081"
"82.50400","0.20806","25.65251"
"83.00400","0.20984","25.77242"
"83.50400","0.21133","25.86000"
